City_ID,City,Country,Max Temp,City Weather Description,Lat,Lng,Hotel Name
0,Hilo,US,83.28,few clouds,19.7297,-155.09,Dolphin Bay Hotel
1,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Grand Bel Air
4,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
9,Ambanja,MG,73.81,moderate rain,-13.6833,48.45,Hôtel Salama Rose
12,Sao Filipe,CV,76.23,broken clouds,14.8961,-24.4956,Bela Vista
17,Shush,IR,71.31,light rain,32.1942,48.2436,هتل آپادانا
19,Mahibadhoo,MV,80.55,scattered clouds,3.7833,72.9667,Coral View Inn
24,Hithadhoo,MV,81.21,scattered clouds,-0.6,73.0833,Pebbles Inn
29,Rikitea,PF,72.27,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
30,Padang,ID,75.4,light rain,-0.9492,100.3543,losmen Surya
47,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
49,Georgetown,MY,81.23,few clouds,5.4112,100.3354,Page 63 hostel
51,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Hotel Prainha
58,Morondava,MG,78.51,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
72,Atuona,PF,77.86,broken clouds,-9.8,-139.0333,Pearl Resort
75,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
78,Lethem,GY,87.69,broken clouds,3.3803,-59.7968,Hotel Amazonas
94,Itarema,BR,81.68,overcast clouds,-2.9248,-39.9167,Pousada Oásis
97,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
109,Souillac,MU,75.58,light rain,-20.5167,57.5167,Hotel SkylineInn
112,Yaounde,CM,72.1,overcast clouds,3.8667,11.5167,Bouns hotel
114,Caravelas,BR,79.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
115,Sabang,ID,80.51,overcast clouds,5.8933,95.3214,Sabang Hill
117,Cabo San Lucas,MX,83.5,few clouds,22.8909,-109.9124,Comfort Rooms
