City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
0,Hilo,US,19.7297,-155.09,83.28,82,20,4.61,few clouds
1,Mahebourg,MU,-20.4081,57.7,76.24,78,40,4.61,scattered clouds
2,Bonthe,SL,7.5264,-12.505,79.47,79,21,5.97,few clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,8.05,light snow
4,Kapaa,US,22.0752,-159.319,80.92,85,0,9.22,clear sky
5,Abu Kamal,SY,34.4506,40.9171,61.32,67,71,5.14,broken clouds
6,Butaritari,KI,3.0707,172.7902,81.1,77,18,13.18,few clouds
7,Nanortalik,GL,60.1432,-45.2371,29.98,83,100,18.66,overcast clouds
8,Ahipara,NZ,-35.1667,173.1667,61.25,68,99,15.93,overcast clouds
9,Ambanja,MG,-13.6833,48.45,73.81,93,36,0.67,moderate rain
10,Prainha,BR,-1.8,-53.48,84.9,66,64,4.68,broken clouds
11,Ushuaia,AR,-54.8,-68.3,53.26,50,75,27.63,broken clouds
12,Sao Filipe,CV,14.8961,-24.4956,76.23,65,68,8.32,broken clouds
13,Hobart,AU,-42.8794,147.3294,52.05,77,75,4.61,broken clouds
14,Svetlyy,RU,54.675,20.1347,35.65,93,100,7.34,overcast clouds
15,Port Lavaca,US,28.615,-96.6261,62.92,58,0,19.57,clear sky
16,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,84,84,3.62,broken clouds
17,Shush,IR,32.1942,48.2436,71.31,55,35,5.39,light rain
18,Oudtshoorn,ZA,-33.5907,22.2014,61.16,67,10,2.59,clear sky
19,Mahibadhoo,MV,3.7833,72.9667,80.55,69,39,4.52,scattered clouds
20,Half Moon Bay,US,37.4636,-122.4286,57.9,63,20,8.05,few clouds
21,Lebu,CL,-37.6167,-73.65,56.37,64,0,20.87,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,67.08,92,100,20.0,moderate rain
23,Maniitsoq,GL,65.4167,-52.9,21.9,78,100,35.77,overcast clouds
24,Hithadhoo,MV,-0.6,73.0833,81.21,74,46,6.78,scattered clouds
25,Avera,US,33.194,-82.5271,68.56,71,77,12.01,broken clouds
26,Iqaluit,CA,63.7506,-68.5145,-20.31,68,20,12.66,few clouds
27,Onda,ES,39.9667,-0.25,54.05,82,98,3.69,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,63.0,67,75,7.0,broken clouds
29,Rikitea,PF,-23.1203,-134.9692,72.27,72,100,13.62,overcast clouds
